codigo,nombre,distrito,provincia,departamento,latitud,longitud,altitud_m,banda_altitud,banda_descripcion
35395,ALOPECIA: CENTRO INTERNACIONAL DE TRICOLOGIA,MIRAFLORES,LIMA,LIMA,-12.1193589,-77.0338482,86.0,Banda 1,0–2499 m s. n. m.
35431,NUEVOCARDIO,SAN BORJA,LIMA,LIMA,-12.1035068,-77.00621307,143.0,Banda 1,0–2499 m s. n. m.
35445,CONSULTORIO ESPECIALIZADO P. - C,EL AGUSTINO,LIMA,LIMA,-12.0346582,-76.9996091,206.0,Banda 1,0–2499 m s. n. m.
35407,FISIOIRSAN,PUEBLO LIBRE,LIMA,LIMA,-12.0811802,-77.0594856,92.0,Banda 1,0–2499 m s. n. m.
35392,SONRIFRESH M&I,LIMA,LIMA,LIMA,-12.0409588,-77.0665153,100.0,Banda 1,0–2499 m s. n. m.
35446,"PETIT SCHOOL Centro de estimulación temprana, terapias y desarrollo infantil",LA MOLINA,LIMA,LIMA,-12.07056616,-76.95674705,244.0,Banda 1,0–2499 m s. n. m.
35152,PUESTO DE SALUD HUARIHUAYIN,SILLAPATA,DOS DE MAYO,HUANUCO,-9.78430154,-76.76867222,3675.0,Banda 3,3600–4500 m s. n. m.
34714,DR. CESAR ZAMBRANO - NUESTRO PEDIATRA,HUANCAYO,HUANCAYO,JUNIN,-12.0582128,-75.2048477,3277.0,Banda 2,2500–3599 m s. n. m.
34720,CITOLABDENT,HUANCAYO,HUANCAYO,JUNIN,-12.07396,-75.221538,3223.0,Banda 2,2500–3599 m s. n. m.
35032,SAN JUDAS TADEO,EL TAMBO,HUANCAYO,JUNIN,-12.04794395,-75.21452878,3287.0,Banda 2,2500–3599 m s. n. m.
34761,DENTIX SMILE,BREÑA,LIMA,LIMA,-12.0587768,-77.0422002,135.0,Banda 1,0–2499 m s. n. m.
34759,SALUD Y VIDA CONSULTORIO MEDICO,BREÑA,LIMA,LIMA,-12.05634922,-77.04245786,136.0,Banda 1,0–2499 m s. n. m.
34310,CERDENT,LINCE,LIMA,LIMA,-12.0836972,-77.0359818,117.0,Banda 1,0–2499 m s. n. m.
